C perl 5.16.3 5.16.3
P Net-Telnet 3.3 3.03
C Object-Accessor 0.46 0.46
L openssl 1.1.5.1 1.0.1e
P Package-DeprecationManager 0.13 0.13
P Package-Stash 0.34 0.34
P Package-Stash-XS 0.26 0.26
C Params-Check 0.36 0.36
P Params-Classify 0.13 0.013
P Params-Util 1.7 1.07
C Parse-CPAN-Meta 1.44.4 1.4404
C PathTools 3.40 3.40
P Perl-Critic 1.118 1.118
C PerlIO-via-QuotedPrint 0.7 0.07
C Pod-LaTeX 0.61 0.61
C Pod-Simple 3.23 3.23
C podlators 2.4.2 2.4.2
L postgresql 8.4.16 8.4.16
P PPI 1.215 1.215
P PPIx-Regexp 0.28 0.028
P PPIx-Utilities 1.1.0 1.001000
P PPM-Repositories 0.19 0.19
P Readonly 1.3 1.03
P Readonly-XS 1.5 1.05
C Safe 2.35 2.35
C Scalar-List-Utils 1.27 1.27
L scineplex 1.0 1.0
P Scope-Guard 0.20 0.20
P Shell 0.72 0.72
P Shell-Command 0.6 0.06
P SQL-Statement 1.402 1.402
P Sub-Exporter 0.985 0.985
P Sub-Install 0.926 0.926
P Sub-Name 0.5 0.05
P Sub-Uplevel 0.24 0.24
C Sys-Syslog 0.32 0.32
P Task-Weaken 1.4 1.04
P Tcl 1.2 1.02
C Term-ANSIColor 4.2 4.02
P Term-ReadLine-Perl 1.3.3.1 1.0303
C Term-UI 0.34 0.34
P TermReadKey 2.30 2.30
C Test 1.26 1.26
P Test-Differences 0.61 0.61
P Test-Exception 0.31 0.31
C Test-Harness 3.26 3.26
C Test-Simple 0.98 0.98
P Text-Autoformat 1.669.2 1.669002
P Text-CSV_XS 0.95 0.95
P Text-Diff 1.41 1.41
P Text-Glob 0.9 0.09
C Text-ParseWords 3.28 3.28
P Text-Reform 1.20 1.20
C Text-Soundex 3.4 3.04
C Text-Tabs+Wrap 2012.818 2012.0818
C Thread-Queue 3.1 3.01
C threads-shared 1.43 1.43
C Time-Local 1.23.0 1.2300
L tkkit 1.1 1.1
P Tkx 1.9 1.09
P Try-Tiny 0.12 0.12
C Unicode-Collate 0.97 0.97
C Unicode-Normalize 1.16 1.16
P URI 1.60 1.60
C version 0.99.2 0.9902
P WWW-Mechanize 1.72 1.72
P WWW-RobotRules 6.2 6.02
P XML-Parser 2.41.0.1 2.41
P XML-Simple 2.20 2.20
P YAML-LibYAML 0.39 0.39
L zlib 1.2.7 1.2.7
